date_collected	plot	species	sex	weight_grams	calibrated_correctly	field_season
7/16/13	2	DM	F	NA	YES	2013
7/16/13	7	DM	M	33	YES	2013
7/16/13	3	DM	M	NA	YES	2013
7/16/13	1	DM	M	NA	YES	2013
7/18/13	3	DM	M	40	YES	2013
7/18/13	7	DM	M	48	YES	2013
7/18/13	4	DM	F	29	YES	2013
7/18/13	6	DM	F	37	YES	2013
8/19/13	8	DO	F	52	YES	2013
10/17/13	3	DO	F	33	YES	2013
10/17/13	3	DO	F	50	YES	2013
12/10/13	9	DO	F	40	YES	2013
12/10/13	1	DO	M	45	YES	2013
12/11/13	8	DO	F	41	YES	2013
11/12/13	9	DS	F	117	YES	2013
11/13/13	11	DS	F	126	YES	2013
11/13/13	17	DS	M	132	NO	2013
11/13/13	14	DS	F	113	NO	2013
11/13/13	11	DS	F	122	YES	2013
11/13/13	4	DS	F	107	YES	2013
11/13/13	4	DS	F	115	YES	2013
1/9/14	1	DM	M	40	YES	2014
1/9/14	1	DM	F	36	YES	2014
3/13/14	1	DM	F	51	YES	2014
3/13/14	1	DM	F	44	YES	2014
3/13/14	1	DS	F	146	YES	2014
1/8/14	2	NA	NA	NA	YES	2014
1/8/14	2	DM	M	44	YES	2014
1/8/14	2	PF	F	7	YES	2014
1/8/14	2	DM	M	45	YES	2014
1/8/14	2	OT	NA	NA	YES	2014
1/8/14	2	DS	M	157	NO	2014
1/8/14	2	OX	NA	NA	YES	2014
2/18/14	2	NA	M	218	NO	2014
2/18/14	2	PF	F	7	YES	2014
2/18/14	2	DM	M	52	YES	2014
3/11/15	3	PF	M	8	YES	2014
4/8/15	3	NA	F	NA	YES	2014
5/6/15	3	NA	NA	NA	YES	2014
5/18/15	3	NA	F	182	YES	2014
6/9/15	3	OT	F	29	YES	2014
7/8/15	3	NA	F	115	YES	2014
7/8/15	3	NA	M	190	YES	2014
1/8/78	4	DM	F	37	YES	2014
1/8/78	4	DM	M	NA	YES	2014
1/8/78	4	DM	F	48	YES	2014
1/8/78	4	DO	M	52	YES	2014
1/8/78	4	OL	M	35	YES	2014
